@relation 0_gimp(master)

@attribute author_date_unix_timestamp numeric
@attribute fix_unix_timestamp numeric
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {0,1}

@data
1305588580,-1,0,1,1,1,0,24,2,264,2,114.437257,1,4,0.067659,3,1
1305636880,-1,0,1,1,1,0,7,4,1291,12,12.694757,1,7558,133.024623,6070,0
1305636957,-1,0,1,1,1,0,5,4,770,9,92.173588,1,7559,134.024567,6071,0
1305658884,-1,0,1,1,2,0.558629,13,10,146.5,1,110.108356,1,1283,34.314728,985,1
1305667099,1285510625,1,1,1,1,0,3,5,4342,12,15.996528,1,7560,134.354689,6072,0
1305700870,-1,1,1,1,1,0,5,0,1459,18,19.701748,1,23,0.377254,4,0
1305745580,-1,0,1,2,12,3.219937,517,62,44.666667,3,57.221815,4,1285,35.493251,987,0
1305746237,1305555041,1,1,1,2,0.970951,3,2,625,8,2.392216,2,1286,36.485307,68,0
1305780166,-1,1,1,1,1,0,3,1,1103,8,0.392697,1,1287,35.411471,69,0
1305781822,-1,0,1,2,13,2.756498,340,18,52.153846,3,0.161336,3,1307,39.911471,1007,0
1305908396,-1,0,1,1,1,0,4,0,11,1,335.037454,1,1289,36.889042,989,0
1305908497,-1,0,1,1,1,0,1,0,656,13,65.951586,1,71,0.506676,2,0
1305911217,-1,0,1,2,2,0.961237,26,26,471,15,4.496678,1,7561,126.345097,6073,0
1305911731,1149527656,1,1,1,1,0,0,3,4340,12,2.831389,1,7562,127.343358,6074,0
1305913308,-1,0,1,2,7,2.389606,62,62,932.285714,19,128.5244,6,7563,128.326413,6075,1
1305913691,-1,0,1,1,1,0,11,18,4337,12,0.004433,1,7564,129.326189,6076,1
1306068803,-1,0,1,1,1,0,1,0,500,30,45.653368,1,7565,127.760853,130,0
1306079573,-1,0,1,1,1,0,21,22,4330,12,1.919931,1,7566,128.125895,6077,1
1306094949,1306079573,1,1,2,6,1.476611,542,140,985.333333,24,19.906194,4,7567,127.67047,6078,1
1306177868,-1,0,2,3,10,2.088633,612,1,239.9,44,0.000007,4,113,4.260692,52,1
1306181299,-1,0,2,2,3,1.459148,6,0,508.333333,15,0.000012,2,112,4.242835,2,0
1306254319,-1,0,1,2,2,1,3,1,1149,9,55.336817,2,0,0,0,1
1306255816,-1,0,1,1,2,0.938315,13,18,643.5,8,16.886539,2,1,1,0,1
1306260694,1303339319,1,1,1,1,0,2,2,378,4,33.812211,1,7568,124.903029,6079,1
1306262945,1306094949,1,1,1,1,0,7,7,431,1,1.944398,1,7569,125.892909,6080,0
1306272928,1293981355,1,1,1,1,0,1,1,86,3,21.951262,1,95,4.116036,88,0
1306281278,-1,0,1,1,2,0.233249,182,2,190,1,1.196875,1,114,7.116036,104,1
1306311782,-1,0,1,1,1,0,43,67,431,1,0.565243,1,7570,125.979093,6081,0
1306343578,-1,0,1,1,1,0,1395,973,15675,15,54.95713,1,2,0.666667,0,0
1306343649,-1,0,1,1,1,0,33,23,341,4,123.30184,1,3,1.666667,0,0
1306352447,-1,0,1,1,1,0,46,0,496,1,0.823715,1,115,8.046679,105,0
1306357396,-1,0,1,1,1,0,8,0,388,8,51.954387,1,7571,125.797481,6082,0
1306389980,-1,0,1,1,3,0.716176,27,9,877.333333,9,0.000012,1,1293,29.936055,993,1
1306424572,1296145522,1,1,1,1,0,1,1,258,1,8.86213,1,1291,29.922602,991,1
1306425599,-1,0,1,1,1,0,29,0,816,2,14.995139,1,1292,30.914181,992,0
1306430927,-1,0,1,1,1,0,1,0,499,2,47.457222,1,25,0.864479,6,0
1306432157,-1,1,2,2,2,0.918296,3,3,208.5,48,220.520312,2,26,1.863728,3.5,0
1306432441,-1,0,1,1,1,0,2,0,1453,4,28.169005,1,24,0.863728,5,0
1306433182,-1,0,1,1,1,0,112,129,13000,14,21.010035,1,4,2.5,1,0
1306433612,-1,0,1,1,1,0,17,15,12983,14,0.004977,1,5,3.5,2,0
