"learning evaluation instances on certain fold","1-fold","2-fold","3-fold","4-fold","5-fold","6-fold","7-fold","8-fold","9-fold","10-fold"
175,51.42857143,47.42857143,51.42857143,52,49.71428571,51.42857143,49.71428571,52,51.42857143,52.57142857
176,51.70454545,47.72727273,51.70454545,51.70454545,49.43181818,51.70454545,50,52.27272727,51.70454545,52.27272727
177,51.41242938,47.45762712,51.41242938,51.41242938,49.71751412,51.41242938,49.71751412,51.97740113,51.41242938,52.54237288
178,51.12359551,47.19101124,51.12359551,51.12359551,50,51.12359551,49.43820225,51.68539326,51.12359551,52.24719101
179,50.83798883,46.9273743,50.83798883,50.83798883,50.27932961,50.83798883,49.16201117,51.39664804,50.83798883,51.95530726
180,51.11111111,47.22222222,51.11111111,51.11111111,50.55555556,51.11111111,49.44444444,51.66666667,51.11111111,52.22222222
181,50.82872928,46.96132597,50.82872928,50.82872928,50.27624309,50.82872928,49.17127072,51.38121547,50.82872928,51.93370166
182,51.0989011,47.25274725,51.0989011,51.0989011,50.54945055,51.0989011,49.45054945,51.64835165,51.0989011,52.1978022
183,51.36612022,47.54098361,51.36612022,51.36612022,50.81967213,51.36612022,49.72677596,51.91256831,51.36612022,52.45901639
184,51.08695652,47.2826087,51.08695652,51.08695652,50.54347826,51.08695652,49.45652174,51.63043478,51.08695652,52.17391304
185,51.35135135,47.56756757,51.35135135,51.35135135,50.81081081,51.35135135,49.72972973,51.89189189,51.35135135,52.43243243
186,51.07526882,47.31182796,51.07526882,51.61290323,50.53763441,51.07526882,49.46236559,51.61290323,51.07526882,52.15053763
187,50.80213904,47.05882353,50.80213904,51.3368984,50.26737968,50.80213904,49.19786096,51.3368984,50.80213904,51.87165775
188,50.53191489,46.80851064,50.53191489,51.06382979,50,50.53191489,48.93617021,51.06382979,50.53191489,51.59574468
189,50.26455026,46.56084656,50.26455026,50.79365079,49.73544974,50.26455026,48.67724868,50.79365079,50.26455026,51.32275132
190,50,46.31578947,50,50.52631579,49.47368421,50,48.42105263,50.52631579,50,51.05263158
191,49.7382199,46.07329843,49.7382199,50.2617801,49.21465969,49.7382199,48.16753927,50.2617801,49.7382199,50.78534031
192,50,46.35416667,50,50.52083333,49.47916667,50,48.4375,50.52083333,50,51.04166667
193,49.74093264,46.11398964,49.74093264,50.25906736,49.22279793,49.74093264,48.1865285,50.25906736,49.74093264,50.77720207
194,50,46.39175258,50,50.51546392,49.48453608,50,48.45360825,50.51546392,50,51.03092784
195,50.25641026,46.15384615,50.25641026,50.76923077,49.23076923,50.25641026,48.71794872,50.25641026,50.25641026,51.28205128
196,50,46.42857143,50,51.02040816,49.48979592,50,48.46938776,50.51020408,50,51.02040816
197,49.74619289,46.1928934,49.74619289,51.26903553,49.74619289,49.74619289,48.22335025,50.25380711,49.74619289,50.76142132
